genres,original_language,popularity,budget,revenue,runtime,vote_average,vote_count
Drama,en,39.261,31500,150000,147,8.285,7615
Drama,en,38.853,34000,48169.908,202,7.531,1562
Drama,en,38.77,35000,120072.577,150,8.382,7891
Drama,en,38.657,80000,233093.859,104,5.583,2974
Comedy,en,38.573,65000,133821.816,119,6.252,1227
Comedy,en,38.514,18000,358994.85,120,6.7,8379
Comedy,en,38.428,21000,31635.15,110,6.7,3149
Drama,en,38.365,350,1000,97,8.537,7082
Comedy,en,38.049,10000,159313.561,102,5.6,2052
Drama,en,38.005,18000,33800,109,8.2,1401
Drama,en,37.936,6000,23341.568,106,8.197,9165
Comedy,en,37.916,8000,5468.65,96,6.4,610
Comedy,en,37.815,20000,149281.606,91,5.3,921
Drama,en,37.809,20000,23875.127,119,8.35,10866
Drama,en,37.423,13000,33400,103,7.8,10015
Drama,en,37.351,41000,242875.078,111,7.126,6727
Drama,en,37.268,24000,155900,101,6.9,3248
Comedy,en,37.267,25000,149228.077,107,6.3,4210
Comedy,en,37.189,75000,342695.435,87,5.697,1915
Comedy,en,37.165,16000,53478.166,97,7.56,7000
Drama,en,37.144,30000,44516.999,121,6.979,6049
Comedy,en,37.126,75000,443140.005,88,5.644,2541
Comedy,en,37.114,11500,94073.028,102,5.9,3939
Drama,en,36.957,40000,205405.498,189,7.6,1897
Drama,en,36.942,17500,38000,121,7.7,2408
Drama,en,36.902,60000,240797.623,96,7.2,6433
Comedy,en,36.842,95000,374251.247,162,7.435,11783
Comedy,en,36.795,30000,51132.598,83,6.5,1713
Comedy,en,36.658,30000,1122.066,109,7.4,3402
Drama,en,36.517,6000,10409.377,97,7.1,2958
Drama,en,36.184,32000,82343.495,129,7.4,1934
Comedy,en,36.111,75000,196482.882,99,6.854,6772
Drama,en,35.974,18000,103215.094,120,7.5,11793
Drama,en,35.913,11800,47494.916,101,7.747,3656
Comedy,en,35.85,17000,115400,112,7.3,6314
Drama,en,35.833,17500,23438.12,156,6,626
Drama,en,35.785,1448.864,3270,133,7.8,637
Comedy,en,35.56,70000,374111.707,127,6.4,3420
Comedy,en,35.497,16000,247275.374,107,6.593,5323
Comedy,en,35.48,51000,149270.999,116,6.583,3335
Drama,en,35.466,72000,408247.917,106,6.675,5066
Comedy,en,35.454,23000,79799.88,101,6.5,1431
Drama,en,35.41,24000,64414.761,139,6.9,2360
Drama,en,35.388,16400,235860.116,128,8.314,10374
Comedy,en,35.367,15000,61399.552,99,7.1,1276
Drama,en,35.297,4000,21591.034,124,7.4,394
